Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Dil Se..,tt0164538,21 Aug 1998,"Drama, Romance","Shah Rukh Khan, Manisha Koirala, Preity Zinta","Mani Ratnam, Sujatha, Tigmanshu Dhulia",Mani Ratnam,A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.,7.7,"28,400"
Kai Po Che!,tt2213054,22 Feb 2013,"Drama, Sport","Amit Sadh, Sushant Singh Rajput, Rajkummar Rao","Chetan Bhagat, Abhishek Kapoor, Supratik Sen",Abhishek Kapoor,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,7.7,"36,569"
Aashiqui 2,tt2203308,26 Apr 2013,"Drama, Music, Musical","Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa",Shagufta Rafique,Mohit Suri,Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,7.0,"29,266"
Padmaavat,tt5935704,25 Jan 2018,"Drama, History, Romance","Deepika Padukone, Ranveer Singh, Shahid Kapoor","Prakash Kapadia, Sanjay Leela Bhansali",Sanjay Leela Bhansali,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Me...",7.0,"31,407"
Tanu Weds Manu: Returns,tt2140465,22 May 2015,"Comedy, Drama, Romance","Kangana Ranaut, Madhavan, Jimmy Shergill",Himanshu Sharma,Aanand L. Rai,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,7.6,"28,624"
Baazigar,tt0106333,12 Nov 1993,"Crime, Drama, Musical","Shah Rukh Khan, Kajol, Dalip Tahil","Robin Bhatt, Akash Khurana, Javed Siddiqui","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive.",7.6,"27,842"
Highway,tt2980794,21 Feb 2014,"Crime, Drama, Romance","Alia Bhatt, Randeep Hooda, Durgesh Kumar",Imtiaz Ali,Imtiaz Ali,"Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",7.6,"28,489"
Udta Punjab,tt4434004,17 Jun 2016,"Crime, Drama","Shahid Kapoor, Alia Bhatt, Kareena Kapoor","Sudip Sharma, Abhishek Chaubey",Abhishek Chaubey,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,7.7,"30,002"
Anand,tt0066763,12 Mar 1971,"Drama, Musical","Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal","Hrishikesh Mukherjee, Gulzar, D.N. Mukherjee",Hrishikesh Mukherjee,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",8.1,"33,523"
Holiday: A Soldier Is Never Off Duty,tt2556308,06 Jun 2014,"Action, Crime, Thriller","Akshay Kumar, Sonakshi Sinha, Freddy Daruwala","A.R. Murugadoss, Arun Shekhar",A.R. Murugadoss,"A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",7.2,"28,159"
Sarfarosh,tt0200087,30 Apr 1999,"Action, Drama, Thriller","Aamir Khan, Naseeruddin Shah, Sonali Bendre","Hriday Lani, John Mathew Matthan, Pathik Vats",John Mathew Matthan,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",8.1,"25,470"
Kaabil,tt5460276,27 Jan 2017,"Action, Crime, Drama","Hrithik Roshan, Abhinay Raj Singh, Yami Gautam","Sanjay Masoomm, Vijay Kumar Mishra, Rajshri Sudhakar",Sanjay Gupta,A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.,7.1,"26,626"
Stree,tt8108202,31 Aug 2018,"Comedy, Horror","Rajkummar Rao, Abhinay Raj Singh, Shraddha Kapoor","Raj Nidimoru, Krishna D.K., Sumit Arora",Amar Kaushik,"In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",7.5,"33,155"
Gully Boy,tt2395469,14 Feb 2019,"Drama, Music, Romance","Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi","Zoya Akhtar, Reema Kagti, Vijay Maurya",Zoya Akhtar,A coming-of-age story based on the lives of street rappers in Mumbai.,7.9,"38,290"
Kick,tt2372222,25 Jul 2014,"Action, Comedy, Crime","Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui","Vakkantham Vamsi, Rajat Arora, Keith Gomes",Sajid Nadiadwala,"An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster.",5.3,"28,965"
2 States,tt2372678,18 Apr 2014,"Comedy, Drama, Romance","Arjun Kapoor, Alia Bhatt, Amrita Singh","Chetan Bhagat, Abhishek Varman, Hussain Dalal",Abhishek Varman,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,6.9,"25,513"
Dhoom 2,tt0441048,24 Nov 2006,"Action, Crime, Thriller","Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan","Vijay Krishna Acharya, Aditya Chopra",Sanjay Gadhvi,"Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",6.5,"26,192"
Badhaai Ho,tt7725596,19 Oct 2018,"Comedy, Drama","Ayushmann Khurrana, Neena Gupta, Gajraj Rao","Akshat Ghildial, Jyoti Kapoor, Shantanu Srivastava",Amit Ravindernath Sharma,A man is embarrassed when he finds out his mother is pregnant.,8.0,"33,560"
Zero,tt6527426,21 Dec 2018,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Katrina Kaif",Himanshu Sharma,Aanand L. Rai,"The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to ...",5.2,"27,277"
