Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Mubarakan,tt6272828,28 Jul 2017,"Comedy, Romance","Anil Kapoor, Arjun Kapoor, Ileana D'Cruz","Rupinder Chahal, Rajesh Chawla, Balwinder Singh Janjua",Anees Bazmee,"Singleton Kartar Singh is left with the responsibility of raising his 2 orphaned nephews. He asks his brother to raise Charan and his sister in London to raise Karan. When the twins cross continents, they leave behind a trail of c...",5.6,"3,906"
Double Dhamaal,tt1728239,01 Jul 2011,"Comedy, Crime, Drama","Sanjay Dutt, Riteish Deshmukh, Arshad Warsi","Farhad Bhiwandiwala, Tushar Hiranandani, Sajid",Indra Kumar,Four slackers decide to avenge their humiliation at the hands of a con-man.,3.9,"3,962"
Kaun?,tt0195002,26 Feb 1999,"Mystery, Thriller","Urmila Matondkar, Manoj Bajpayee, Sushant Singh",Anurag Kashyap,Ram Gopal Varma,"While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell...",7.8,"4,159"
Margarita with a Straw,tt2929690,14 Jun 2016,Drama,"Kalki Koechlin, Revathi, Sayani Gupta","Shonali Bose, Nilesh Maniyar, Atika Chohan","Shonali Bose, Ajeet Ghorpade, Nilesh Maniyar","A rebellious young woman with cerebral palsy leaves her home in India to study in New York, unexpectedly falls in love, and embarks on an exhilarating journey of self-discovery.",7.2,"3,783"
Yaadein,tt0058759,N/A,"Drama, Mystery","Sanjay Dutt, Sunil Dutt, Nargis",Akhtar-Ul-Iman,Sunil Dutt,"The film is soliloquy of a man who comes home to find that his wife and son are not at home, he assumes that they have left him and reminiscences his life with them, and scared of his life without them, he regrets his past indiscreti",7.3,108
Jazbaa,tt4323504,09 Oct 2015,"Action, Crime, Drama","Aishwarya Rai Bachchan, Irrfan Khan, Shabana Azmi","Deepak Venkateshan, Robin Bhatt, Sanjay Gupta",Sanjay Gupta,"Tensions arise when the daughter of nation's best lawyer is kidnapped. Now she'll have to save a rapist from death sentence, as ransom, within 4 days.",5.7,"3,496"
Bhoot,tt0341266,30 May 2003,"Horror, Mystery, Thriller","Ajay Devgn, Urmila Matondkar, Nana Patekar","Lalit Marathe, Sameer Sharma",Ram Gopal Varma,"When a married couple moves into a flat that is haunted by a spirit, a series of inexplicable experiences drive the wife to near madness. Now, the husband must protect his wife to save their marriage.",6.4,"3,674"
Zinda,tt0488906,12 Jan 2006,"Action, Drama, Mystery","Sanjay Dutt, John Abraham, Lara Dutta","Vishal Dadlani, Sanjay Gupta, Anwar Maqsood",Sanjay Gupta,"A man, taken and locked up for 14 years without any sane reason, is suddenly released, and has 4 days to figure out why this was done to him.",4.8,"3,478"
Lucky: No Time for Love,tt0449306,08 Apr 2005,"Musical, Drama, Romance","Salman Khan, Sneha Ullal, Mithun Chakraborty","Radhika Rao, Vinay Sapru, Milap Zaveri","Radhika Rao, Vinay Sapru","In a chain of unfortunate events, a 17-year-old schoolgirl narrowly escapes a possible rapist, is caught up in a terror attack, and drinks contaminated water that poisons her.",4.7,"3,649"
Aakrosh,tt1708453,15 Oct 2010,"Action, Crime, Drama","Ajay Devgn, Akshaye Khanna, Bipasha Basu","Robin Bhatt, Aditya Dhar, Irshad Kamil",Priyadarshan,"The Central Bureau of Investigation deputes two officers to investigate the disappearance of three medical students, which they believe to be an incident of 'honour killing' in a small, closed community.",7.0,"3,728"
Eklavya: The Royal Guard,tt0459605,16 Feb 2007,"Action, Drama, Mystery","Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt","Vidhu Vinod Chopra, Abhijat Joshi, Swanand Kirkire",Vidhu Vinod Chopra,"As the kingdom of Devigarh comes apart at the seams, an aging bodyguard attempts to protect the Royal Family, as well as keep its darkest secrets from ever coming to light.",6.1,"3,331"
1942: A Love Story,tt0109010,15 Jul 1994,"Action, Drama, History","Anil Kapoor, Jackie Shroff, Manisha Koirala","Sanjay Leela Bhansali, Kamna Chandra, Vidhu Vinod Chopra",Vidhu Vinod Chopra,"A young Indian couple, both from wealthy backgrounds, find themselves caught up in the 1940's Indian revolutionary movement against their families whom are under the thumb a sadistic British general.",7.2,"3,391"
Raaz: The Mystery Continues,tt1340838,23 Jan 2009,"Horror, Mystery, Romance","Kangana Ranaut, Adhyayan Suman, Emraan Hashmi","Kumaar, Sayeed Qadri, Shagufta Rafique",Mohit Suri,An artist comes to realize that the woman he has been been painting is real and is being haunted by a ghost.,5.6,"3,663"
